"","rmeans_nexpr","rmeans_texpr","gene"
"200655_s_at",3423.78209302326,2825.62069767442,"CALM1 /// CALM2 /// CALM3"
"200656_s_at",374.667674418605,524.70278372093,"P4HB"
"200657_at",2489.93048837209,2877.64062790698,"SLC25A5"
"200658_s_at",642.295534883721,701.609720930233,"PHB"
"200659_s_at",1590.40881395349,1709.67704651163,"PHB"
"200660_at",261.381720930233,416.731093023256,"S100A11"
"200661_at",274.839744186047,239.249525581395,"CTSA"
"200662_s_at",1601.3293255814,2342.98239534884,"TOMM20"
"200663_at",3972.02604651163,3303.5776744186,"CD63"
"200664_s_at",192.829334883721,125.412097674419,"DNAJB1"
"200665_s_at",3627.36893255814,2568.24344186047,"SPARC"
"200666_s_at",1293.30025581395,878.478558139535,"DNAJB1"
"200667_at",2222.50725581395,2070.79186046512,"UBE2D3"
"200668_s_at",3753.58046511628,3411.73465116279,"UBE2D3"
"200669_s_at",2189.56453488372,2045.10130232558,"UBE2D3"
"200670_at",2615.94744186047,3534.15046511628,"XBP1"
"200671_s_at",73.8120581395349,47.2076418604651,"SPTBN1"
"200672_x_at",292.121418604651,220.862120930233,"SPTBN1"
"200673_at",4778.86720930233,4424.95372093023,"LAPTM4A"
"200674_s_at",5738.46674418605,5382.74813953488,"RPL32"
"200675_at",4111.63162790698,2819.63441860465,"CD81"
"200676_s_at",329.745511627907,260.082034883721,"UBE2L3"
"200677_at",2704.43627906977,3319.58,"PTTG1IP"
"200678_x_at",1177.64902325581,1148.7206744186,"GRN"
"200679_x_at",607.46723255814,639.560441860465,"HMGB1"
"200680_x_at",3440.55674418605,3567.40348837209,"HMGB1"
"200681_at",913.458465116279,1572.62611627907,"GLO1"
"200682_s_at",1344.76441860465,1168.21837209302,"UBE2L3"
"200683_s_at",190.946388372093,229.599230232558,"UBE2L3"
"200684_s_at",1382.29704651163,1156.43897674419,"UBE2L3"
"200685_at",312.494193023256,280.523513953488,"SRSF11"
"200686_s_at",3688.31627906977,3723.05697674419,"SRSF11"
"200687_s_at",376.511139534884,434.492279069767,"SF3B3"
"200688_at",696.926441860465,772.342023255814,"SF3B3"
"200689_x_at",3485.50655813953,4217.08237209302,"EEF1G /// MIR3654"
"200690_at",478.114604651163,479.595748837209,"HSPA9"
"200691_s_at",1922.97260465116,2227.54853488372,"HSPA9"
"200692_s_at",510.362718604651,710.531904651163,"HSPA9"
"200693_at",2007.31760465116,2455.58279069767,"YWHAQ"
"200694_s_at",2228.16153488372,2077.47611627907,"DDX24"
"200695_at",780.549209302326,919.261,"PPP2R1A"
"200696_s_at",3579.09860465116,1808.73462790698,"GSN"
"200697_at",346.755906976744,431.121930232558,"HK1"
"200698_at",1277.76413953488,1296.85262790698,"KDELR2"
"200699_at",1838.93297674419,1906.48858139535,"KDELR2"
"200700_s_at",2633.68248837209,2769.33260465116,"KDELR2"
"200701_at",1712.42325581395,1527.13441860465,"NPC2"
"200702_s_at",189.301860465116,182.138853488372,"DDX24"
"200703_at",1655.19111627907,1848.56658139535,"DYNLL1"
"200704_at",1697.32037209302,1725.14865116279,"LITAF"
"200705_s_at",4357.94860465116,4459.08,"EEF1B2 /// SNORA41"
"200706_s_at",451.368255813954,520.266065116279,"LITAF"
"200707_at",190.874886046512,204.540053488372,"PRKCSH"
"200708_at",696.632744186046,1026.4766744186,"GOT2"
"200709_at",566.688534883721,481.923418604651,"FKBP1A /// LOC101929368"
"200710_at",2403.88341860465,1867.48213953488,"ACADVL"
"200711_s_at",3032.4923255814,3131.45279069767,"SKP1"
"200712_s_at",541.966465116279,545.188209302326,"MAPRE1"
"200713_s_at",1388.18993023256,1453.76069767442,"MAPRE1"
"200714_x_at",2449.65555813954,2377.93560465116,"OS9"
"200715_x_at",3329.37655813954,3905.75851162791,"RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A"
"200716_x_at",3701.5168372093,4158.28406976744,"RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A"
"200717_x_at",8368.00186046512,8847.14604651163,"RPL7"
"200718_s_at",4864.86558139535,4595.96534883721,"SKP1"
"200719_at",725.403162790698,811.849558139535,"SKP1"
"200720_s_at",486.06911627907,315.470813953488,"ACTR1A"
"200721_s_at",723.446372093023,652.666,"ACTR1A"
"200722_s_at",1057.70465116279,1012.29490697674,"CAPRIN1"
"200723_s_at",1297.84641860465,1363.70648837209,"CAPRIN1"
"200724_at",1525.98348837209,1403.3413255814,"RPL10 /// SNORA70"
"200725_x_at",3725.02720930233,3957.78044186047,"RPL10 /// SNORA70"
"200726_at",2669.06125581395,2626.29651162791,"PPP1CC"
"200727_s_at",1790.53548837209,1636.63930232558,"ACTR2"
"200728_at",1727.41990697674,2131.62669767442,"ACTR2"
"200729_s_at",387.473909302326,694.691262790698,"ACTR2"
"200730_s_at",1406.46981395349,1242.89862790698,"PTP4A1"
"200731_s_at",618.352837209302,608.432186046512,"PTP4A1"
"200732_s_at",2862.90827906977,2880.55209302326,"PTP4A1"
"200733_s_at",1036.97104651163,1144.16951162791,"PTP4A1"
"200734_s_at",641.536651162791,557.473627906977,"ARF3"
"200735_x_at",4334.78279069767,4677.07720930233,"NACA"
"200736_s_at",1993.76776744186,1005.00241627907,"GPX1"
"200737_at",615.760539534884,1056.03931627907,"PGK1"
